Sampling year;Date in;Date out;Station code;Station name;Season;Weeks;Latitude;Longitude;Station Description;Rational;Minilog ID;Minilog Lost;Collector ID;Collector Type;Surface ID;Num_collecteur;C intestinalis % cover;B schlosseri % cover;B schlosseri Color Morph;B violaceus % cover;B violaceus Color Morph;S clava % cover;D vexillum % cover;D listerianum % cover;A aspersa % cover;M membranacea % cover;C mutica % cover;C Pallasiana % cover;Molgula spp. % cover;Schizoporella spp. % cover;Other species;Comments Fauna;Sample Date;Sample time;Prob Depth;Data Prob;Temperture C;Sal ppt;O2 percent;O2 mg-l;SpCond - mS;Spc - mS;pH;pHmV;Chl ug-l;Sampler;Affiliation;Contact;Num_collecteur;Comments;Ech_genetique
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;7;Petri Dish;2;IM-17-039PE2;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-039PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;7;Petri Dish;3;IM-17-039PE3;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-039PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;7;Plate;1;IM-17-039PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-039PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;8;Petri Dish;1;IM-17-040PE1;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-040PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;8;Petri Dish;2;IM-17-040PE2;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-040PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;8;Petri Dish;3;IM-17-040PE3;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-040PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;8;Plate;1;IM-17-040-PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-040-PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;9;Petri Dish;1;IM-17-041PE1;0;0;;1;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-041PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;9;Petri Dish;2;IM-17-041PE2;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-041PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;9;Petri Dish;3;IM-17-041PE3;0;0;;1;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-041PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;9;Plate;1;IM-17-041-PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-041-PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;10;Petri Dish;1;IM-17-042PE1;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-042PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;10;Petri Dish;2;IM-17-042PE2;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-042PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;10;Petri Dish;3;IM-17-042PE3;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-042PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;10;Plate;1;IM-17-042PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-042PL;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;1;Petri Dish;1;IM-17-023PE1;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-023PE1;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;1;Petri Dish;2;IM-17-023PE2;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-023PE2;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;1;Petri Dish;3;IM-17-023PE3;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-023PE3;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;1;Plate;1;IM-17-023PL;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-023PL;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;2;Petri Dish;1;IM-17-024PE1;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-024PE1;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;2;Petri Dish;2;IM-17-024PE2;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-024PE2;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;2;Petri Dish;3;IM-17-024PE3;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-024PE3;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;2;Plate;1;IM-17-024PL;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-024PL;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;3;Petri Dish;1;IM-17-025PE1;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-025PE1;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;3;Petri Dish;2;IM-17-025PE2;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-025PE2;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;3;Petri Dish;3;IM-17-025PE3;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-025PE3;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;3;Plate;1;IM-17-025PL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-025PL;;
2017;2017-06-08;2017-11-14;IM-12;Bassin du Havre Aubert;Full;22.7142857142857;47.2252;-61.8728;Site aquicole;Site aquicole;10606505;No;4;Petri Dish;1;IM-17-026PE1;0;0;;0;;0;0;0;0;0;0;;;;;;2017-11-14;0.427083333333333;2;YSI;3.6;28.7;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-026PE1;;
