14:03:52 From  Jon Pye (OTN)  to  Everyone : Ah Portage, nous sommes des partenaires-du-partenaires avec notre collaboration avec CIOOS.
14:04:53 From  Virginie Roy  to  Everyone : Donc important de spécifier pour un projet X à quelles étapes on aura besoin de DwC, OBIS, OGSL, etc. !!
14:05:52 From  claudenozeres  to  Everyone : Portage est une bonne place avec des ressources pour préparer et archiver les données—des leçons pour nous. Une différence, que je vois, est qu’ici notre but est une diffusion mondiale sur portail ouvert de découverte (comme Canadensys/GBIF), pas simplement d’archiver reégionalement (comme font OpenData Canada, OGSL-CIOOS).
14:06:55 From  naomi tress  to  Everyone : Source: De Pooter et al (2017). https://doi.org/10.3897/BDJ.5.e10989​
14:08:08 From  naomi tress  to  Everyone : mission
14:17:55 From  claudenozeres  to  Everyone : https://vocab.nerc.ac.uk/search_nvs/
14:18:01 From  Jon Pye (OTN)  to  Everyone : ils ont recemment relacher un nouveau portail… oui :)
14:18:03 From  Jon Pye (OTN)  to  Everyone : https://vocab.nerc.ac.uk/search_nvs/
14:18:14 From  claudenozeres  to  Everyone : :)
14:19:59 From  Jon Pye (OTN)  to  Everyone : une autre developpement nouveau, une gestiare de donnees specifique pour tous les measurementOrFact, et leurs types qui existe deja sur OBIS: https://mof.obis.org/
14:31:11 From  Virginie Roy  to  Everyone : Participants du MPO-IML : qui est (organisation ou personne) notre contact ressource (questions, conseils) pour support avec DwC à l'échelle de l'IML, sinon pour le MPO en général ?
14:32:08 From  naomi tress  to  Everyone : c'est Maria Cornthwaite pour mpo en general ?
14:32:42 From  Jon Pye (OTN)  to  Everyone : Pour DFO-MPO / OBIS Canada, je pense que oui.
14:33:32 From  Virginie Roy  to  Everyone : Et dans notre institut MPO à l'IML, n'y-a-t-il personne comme un "regional node" ??
14:34:05 From  Jon Pye (OTN)  to  Everyone : il y a un communaute pour OBIS-Canada aussi qui serait un bon ressource pour les questions de format de donnees, choisir un schema, des particuliers du methode de collection d'information.
14:34:14 From  ThorneMa  to  Everyone : A ma connaissance il n'y a personne à L'IML
14:34:41 From  naomi tress  to  Everyone : peut etre claude (lol)
14:35:02 From  Jon Pye (OTN)  to  Everyone : du sens super-officiel peut-etre pas, mais vous avez des experts dans la region, il est sur.
14:35:09 From  Sandra V  to  Everyone : Caroline Lafleur?
14:36:37 From  claudenozeres  to  Everyone : Julie, je ne vois pas des citations dans les données affichées comme exemples?
14:39:08 From  Virginie Roy  to  Everyone : Ça démontre qu'on aurait besoin de savoir concrètement qui sont nos ressources IML et au Canada dans le vaste monde de la gestion de données. Nous devrions nous faire une liste (ou la DAISS devrait le faire cette liste de ressources pour établir cela de manière standardisée pour les Sciences à l'IML.
14:39:56 From  Virginie Roy  to  Everyone : Je dois quitter malheureusement, mais à demain matin !
14:40:15 From  Caroline Vanier  to  Everyone : Je note ta suggestion Virginie.
14:41:55 From  naomi tress  to  Everyone : une resource, OBISCanada slack, et slack est une programme disponible des MPOhttps://join.slack.com/t/obiscanada/shared_invite/zt-o3bcqrrl-9INHhXV2lPBFiUSHB8qUTA
15:02:54 From  Jon Pye (OTN)  to  Everyone : on as des groupes en train de decider comment integrer les nouvelles facons de determiner la presence du biodiversite dans OBIS. Le group genetique ont recemment convenu et leur GitHub se trouvent ici: https://github.com/iobis/Project-team-Genetic-Data/issues
15:02:57 From  claudenozeres  to  Everyone : La plupart qu’on fait/développe ici sont des données environnementales et mesures associés. À venir seront les séquences (génétiques) et images associées.
15:04:37 From  Jon Pye (OTN)  to  Everyone : moi je m'en occupe avec un groupe qui determinent comment classifier les measurements qui ont basisOfRecord: machineObservation  https://www.tdwg.org/community/mobs/
15:05:56 From  Jon Pye (OTN)  to  Everyone : et on retient la precision comme ca aussi.
